dataset,method,ratio,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,knn,0.85,1024,0.8761311243689872,0.8960149439601495,0.920336139580283,0.8710134656272148
5_hist_fig_ismale,logreg,0.9,1024,0.9904544503308756,0.9906600249066002,0.9985909405255878,1.0
5_hist_fig_ismale,pca,0.9,1024,0.9825477168531292,0.9831880448318804,0.993793222683264,1.0
5_hist_fig_ismale,knn,0.9,1024,0.8531718375880749,0.900373599003736,0.8730204011065007,0.9116847826086956
5_hist_fig_ismale,logreg,0.95,1024,0.9929101566679877,0.9931506849315068,0.9994020314547836,0.9973958333333334
5_hist_fig_ismale,pca,0.95,1024,0.980344099856523,0.9819427148194272,0.9899492136304064,0.9921875
5_hist_fig_ismale,knn,0.95,1024,0.95408996309192,0.9595267745952676,0.8037557339449541,0.8515625
6_hist_fig_isamerican,logreg,0.05,1024,0.9747586136000396,0.976961394769614,0.9902448896984416,0.9973958333333334
6_hist_fig_isamerican,pca,0.05,1024,0.9505707103170964,0.958904109589041,0.9543736085812587,1.0
6_hist_fig_isamerican,knn,0.05,1024,0.9249985979596632,0.9495641344956414,0.9425581866019024,1.0
6_hist_fig_isamerican,xgboost,0.05,1024,0.9575247131073892,0.9645080946450808,0.9795749848208865,0.9739583333333334
6_hist_fig_isamerican,logreg,0.1,1024,0.9699447604531214,0.9701120797011208,0.9902168540050292,0.9891304347826088
6_hist_fig_isamerican,pca,0.1,1024,0.9601250746969924,0.9613947696139477,0.9864385651958992,0.9836956521739132
6_hist_fig_isamerican,knn,0.1,1024,0.8552906013380089,0.9009962640099628,0.980046852500591,0.981657608695652
6_hist_fig_isamerican,xgboost,0.1,1024,0.9477632865942616,0.952054794520548,0.9804723935610048,0.9741847826086956
6_hist_fig_isamerican,logreg,0.15,1024,0.9688132845229608,0.9688667496886676,0.992020427705075,0.9992559523809524
6_hist_fig_isamerican,pca,0.15,1024,0.9628406682430856,0.9632627646326276,0.9899502986639916,0.9970238095238096
6_hist_fig_isamerican,knn,0.15,1024,0.8246758640332077,0.8698630136986302,0.9842156460413722,0.9951636904761904
6_hist_fig_isamerican,xgboost,0.15,1024,0.954608042036953,0.955790784557908,0.986801027464928,0.9873511904761904
6_hist_fig_isamerican,logreg,0.2,1024,0.9639687238704896,0.9638854296388544,0.992560128480486,0.9877622377622376
6_hist_fig_isamerican,pca,0.2,1024,0.942988734464556,0.9439601494396016,0.983664209283876,0.9831002331002332
6_hist_fig_isamerican,knn,0.2,1024,0.9016874894615964,0.9084682440846824,0.9529420870339196,0.9775641025641024
6_hist_fig_isamerican,xgboost,0.2,1024,0.9462924218622826,0.9476961394769614,0.9852387724695728,0.958041958041958
6_hist_fig_isamerican,logreg,0.25,1024,0.9592315081037968,0.9595267745952676,0.9925228508619692,0.983739837398374
6_hist_fig_isamerican,pca,0.25,1024,0.9461973559882372,0.9470734744707348,0.9858742004264394,0.9789972899728998
6_hist_fig_isamerican,knn,0.25,1024,0.8893262732318477,0.8972602739726028,0.9733031272210376,0.9735772357723578
