dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,pca,53,0.8344089808539938,0.8350181965224424,0.9262279280197012,0.95625
5_hist_fig_ismale,knn,53,0.6939862789174429,0.6949049737161342,0.751290156905252,0.7489583333333334
5_hist_fig_ismale,xgboost,53,0.7429231445211463,0.7432268499797816,0.8240932520064248,0.7770833333333335
5_hist_fig_ismale,mlp,53,0.777573809930452,0.7810351799433886,0.898634978757234,0.8375
5_hist_fig_ismale,logreg,74,0.8882810896146719,0.8883248730964467,0.9548022347312112,0.9173280423280424
5_hist_fig_ismale,pca,74,0.8718613097887671,0.8718781725888325,0.9473590124912888,0.9305555555555556
5_hist_fig_ismale,knn,74,0.7406683676518511,0.7417258883248731,0.8167617538926231,0.7685185185185185
5_hist_fig_ismale,xgboost,74,0.767309241752597,0.7673096446700508,0.8419488197871141,0.8055555555555557
5_hist_fig_ismale,mlp,74,0.8306670787768519,0.8308629441624366,0.9192032330316464,0.8862433862433862
5_hist_fig_ismale,logreg,103,0.8921528135517871,0.8921568627450981,0.9564847521252512,0.9611625514403292
5_hist_fig_ismale,pca,103,0.8772463172280701,0.8772467320261438,0.9510810145136486,0.963477366255144
5_hist_fig_ismale,knn,103,0.7475368444942481,0.7475490196078431,0.8176807998526208,0.8536522633744856
5_hist_fig_ismale,xgboost,103,0.7489779099389318,0.7489787581699346,0.8341485746667949,0.8122427983539094
5_hist_fig_ismale,mlp,103,0.8389554058042108,0.8396650326797386,0.9313765538895296,0.9457304526748972
5_hist_fig_ismale,logreg,143,0.9083596676517626,0.9083607907743,0.9683451780300664,0.917948717948718
5_hist_fig_ismale,pca,143,0.8912587759588985,0.8912685337726524,0.9608239539257808,0.8769230769230769
5_hist_fig_ismale,knn,143,0.7659187218587877,0.7666803953871499,0.8418571837622032,0.7974358974358975
5_hist_fig_ismale,xgboost,143,0.7609327466318992,0.7611202635914333,0.8702318706252425,0.8871794871794871
5_hist_fig_ismale,mlp,143,0.8900281733720921,0.8900329489291599,0.9572640989662068,0.9435897435897436
5_hist_fig_ismale,logreg,198,0.9229192388718828,0.9229327223495104,0.976997778703318,0.9473684210526316
5_hist_fig_ismale,pca,198,0.8902285729852414,0.8902312018329515,0.9606722893238928,0.9157894736842104
5_hist_fig_ismale,knn,198,0.6678212931952612,0.6773588835659238,0.7997094960433153,0.9013157894736842
5_hist_fig_ismale,xgboost,198,0.848781464489935,0.8487815038533639,0.9261547271970012,0.8578947368421052
5_hist_fig_ismale,mlp,198,0.903770047906686,0.903770047906686,0.969068270165209,0.918421052631579
5_hist_fig_ismale,logreg,275,0.945381732570214,0.945385266723116,0.9842458672130924,0.997245179063361
5_hist_fig_ismale,pca,275,0.9394447901590208,0.9394580863674852,0.9808938592346644,0.9903581267217632
5_hist_fig_ismale,knn,275,0.8166229153424005,0.817104149026249,0.8767632053090099,0.9269972451790632
5_hist_fig_ismale,xgboost,275,0.8803739044922959,0.880397967823878,0.952469813824734,0.9476584022038568
5_hist_fig_ismale,mlp,275,0.933088346561615,0.933107535986452,0.9804905643332442,0.9710743801652892
5_hist_fig_ismale,logreg,382,0.9579743941363036,0.9579813731860516,0.9903063740483512,1.0
5_hist_fig_ismale,pca,382,0.938682257897856,0.938704786658003,0.9834002355337752,0.9914772727272728
5_hist_fig_ismale,knn,382,0.8140736702352327,0.8148148148148148,0.8969635433046634,0.9211647727272728
5_hist_fig_ismale,xgboost,382,0.9001514168715737,0.900151613601906,0.9624438843407568,0.9602272727272728
5_hist_fig_ismale,mlp,382,0.9367041239114042,0.9367554689192116,0.9840530573980348,0.994318181818182
5_hist_fig_ismale,logreg,531,0.9657523715567397,0.9657564905998208,0.9912676556417506,0.9847939175670268
5_hist_fig_ismale,pca,531,0.9435880632370668,0.9435989256938228,0.9845416205480692,0.981592637054822
5_hist_fig_ismale,knn,531,0.8270782369489614,0.8272157564905999,0.903648365097392,0.9269707883153262
5_hist_fig_ismale,xgboost,531,0.9147190483526144,0.9147269471799464,0.9722137287416976,0.9715886354541816
5_hist_fig_ismale,mlp,531,0.9473945871405974,0.9474037600716204,0.986390238272518,0.9759903961584632
5_hist_fig_ismale,logreg,737,0.9683245889262518,0.9683247301736274,0.991380398096434,0.9983464241422076
5_hist_fig_ismale,pca,737,0.9392267648045772,0.9392304082590334,0.9833945548286,0.9950392724266226
5_hist_fig_ismale,knn,737,0.8335860674279328,0.833646175504458,0.9180592804351136,0.9630012401818934
5_hist_fig_ismale,xgboost,737,0.9235096680654356,0.9235100891600188,0.9741262201450248,0.9801570897064902
5_hist_fig_ismale,mlp,737,0.9626935197484736,0.9626935710933834,0.9898283720837028,0.9971062422488632
5_hist_fig_ismale,logreg,1024,0.971320591359816,0.9713207547169812,0.9925030808909824,1.0
5_hist_fig_ismale,pca,1024,0.9542134539728734,0.9542138364779874,0.9872561995019944,0.9995998399359745
5_hist_fig_ismale,knn,1024,0.8549676166444037,0.8550943396226415,0.927356160111145,0.91796718687475
5_hist_fig_ismale,xgboost,1024,0.940880091566896,0.940880503144654,0.9836381145453496,0.9935974389755904
5_hist_fig_ismale,mlp,1024,0.9685532799995829,0.9685534591194968,0.9914747670724904,0.9991996798719488
6_hist_fig_isamerican,logreg,2,0.768095139940053,0.7684610766459876,0.8528431388568237,1.0
6_hist_fig_isamerican,pca,2,0.395976204729413,0.4072443466079647,0.3465328485277217,1.0
6_hist_fig_isamerican,knn,2,0.395976204729413,0.4072443466079647,0.4072170101026799,1.0
6_hist_fig_isamerican,xgboost,2,0.3332221614489707,0.4998999399639784,0.5,0.5
6_hist_fig_isamerican,mlp,2,0.4081224970131524,0.4114468681208725,0.3772410485411138,1.0
6_hist_fig_isamerican,logreg,3,0.5684140477327937,0.6255004003202562,0.9045672086107638,1.0
6_hist_fig_isamerican,pca,3,0.4004720267379515,0.5304243394715773,0.7581211486402895,1.0
6_hist_fig_isamerican,knn,3,0.4638236545982722,0.5586469175340272,0.5586469175340273,1.0
6_hist_fig_isamerican,xgboost,3,0.3333333333333333,0.5,0.5,0.5
6_hist_fig_isamerican,mlp,3,0.5859461331338788,0.5894715772618094,0.6225887034687799,1.0
6_hist_fig_isamerican,logreg,4,0.8115896449683313,0.812012012012012,0.906710310178459,1.0
6_hist_fig_isamerican,pca,4,0.3735216999437839,0.5183183183183183,0.7251292423606487,1.0
6_hist_fig_isamerican,knn,4,0.5946568271308584,0.6392392392392392,0.6391728520982585,0.5
6_hist_fig_isamerican,xgboost,4,0.3332221169380806,0.4998998998998999,0.5,0.5
6_hist_fig_isamerican,mlp,4,0.789719230173755,0.7897897897897898,0.8676934338820677,1.0
6_hist_fig_isamerican,logreg,5,0.7696650052243623,0.7775330396475771,0.8887696874214616,1.0
6_hist_fig_isamerican,pca,5,0.4636861846581207,0.5620744893872647,0.741883291587871,1.0
6_hist_fig_isamerican,knn,5,0.5346257454520722,0.604925911093312,0.604925911093312,0.5
6_hist_fig_isamerican,xgboost,5,0.3333333333333333,0.5,0.5,0.5
6_hist_fig_isamerican,mlp,5,0.7214048240029152,0.7380857028434121,0.8862947912344634,0.6666666666666666
6_hist_fig_isamerican,logreg,7,0.7944352052115018,0.8008814102564102,0.9302356526853222,0.8333333333333334
6_hist_fig_isamerican,pca,7,0.760131155553334,0.7712339743589743,0.9350049823307034,0.9166666666666666
6_hist_fig_isamerican,knn,7,0.6334807501681734,0.6712740384615384,0.6712740384615384,0.5
6_hist_fig_isamerican,xgboost,7,0.3333333333333333,0.5,0.5,0.5
6_hist_fig_isamerican,mlp,7,0.790180144484399,0.7972756410256411,0.9376293736645298,0.8333333333333334
6_hist_fig_isamerican,logreg,10,0.8127175026773734,0.8157947484465825,0.9260338640392252,0.84
6_hist_fig_isamerican,pca,10,0.8398268521994645,0.8416516335939066,0.9358286741887948,0.88
6_hist_fig_isamerican,knn,10,0.8160327375138633,0.818200040088194,0.8251188825124185,0.74
6_hist_fig_isamerican,xgboost,10,0.503921664052386,0.5147324113048707,0.6157142673478473,0.62
6_hist_fig_isamerican,mlp,10,0.7960948422639376,0.8011625576267789,0.9287886117061708,0.84
6_hist_fig_isamerican,logreg,14,0.8129759844307893,0.8168505516549649,0.9246549246397135,1.0
6_hist_fig_isamerican,pca,14,0.6529024722132243,0.6796389167502508,0.8443004779353297,1.0
6_hist_fig_isamerican,knn,14,0.7711202695199748,0.772517552657974,0.8297131647585954,0.9166666666666666
6_hist_fig_isamerican,xgboost,14,0.669241855706478,0.6698094282848546,0.7379642936015385,1.0
6_hist_fig_isamerican,mlp,14,0.8456418778679994,0.846740220661986,0.932771310230443,0.8333333333333334
6_hist_fig_isamerican,logreg,20,0.8555278290451532,0.8569993974693714,0.9430843502575992,1.0
