dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,knn,7,0.5309974165532199,0.5324519230769231,0.5421788643881492,0.9166666666666666
5_hist_fig_ismale,xgboost,7,0.3333333333333333,0.5,0.5,0.5
5_hist_fig_ismale,mlp,7,0.4940815249967742,0.5526842948717948,0.4995603542591222,0.9166666666666666
5_hist_fig_ismale,logreg,10,0.6065705205776448,0.6213670074163159,0.6853953295524489,0.84
5_hist_fig_ismale,pca,10,0.5158662239093127,0.5526157546602526,0.5275212815366097,0.88
5_hist_fig_ismale,knn,10,0.4661745648899585,0.4800561234716376,0.5259202446593266,0.68
5_hist_fig_ismale,xgboost,10,0.3332219831912983,0.4998997795149328,0.5,0.5
5_hist_fig_ismale,mlp,10,0.5487487771072941,0.5614351573461616,0.547240913261969,0.84
5_hist_fig_ismale,logreg,14,0.7904352517484539,0.7909729187562689,0.8855044525956788,1.0
5_hist_fig_ismale,pca,14,0.6273749131675466,0.6280842527582748,0.6695783506820703,1.0
5_hist_fig_ismale,knn,14,0.6016716439951788,0.6078234704112337,0.6714571265031656,0.8333333333333334
5_hist_fig_ismale,xgboost,14,0.3332218938479206,0.4998996990972918,0.5,0.5
5_hist_fig_ismale,mlp,14,0.7115931199587064,0.7165496489468405,0.7907637371799949,1.0
5_hist_fig_ismale,logreg,20,0.8499989225837788,0.8501707170114481,0.9304922381369592,1.0
5_hist_fig_ismale,pca,20,0.8487191543159385,0.8487648122112874,0.9354597982125368,0.9583333333333334
5_hist_fig_ismale,knn,20,0.7434684067888137,0.7435227957421169,0.743525730079821,0.8333333333333334
5_hist_fig_ismale,xgboost,20,0.6570638500771119,0.6599718819039968,0.7269174730258923,0.9166666666666666
5_hist_fig_ismale,mlp,20,0.8190964453269282,0.8194416549507934,0.9009902204236796,0.8333333333333334
5_hist_fig_ismale,logreg,28,0.8723870623313745,0.8726614363307181,0.9536475490108796,1.0
5_hist_fig_ismale,pca,28,0.8501433769373181,0.8505330919332126,0.9310367433887314,0.9722222222222222
5_hist_fig_ismale,knn,28,0.7391708631715869,0.7400925367129351,0.7401045047436672,0.8055555555555557
5_hist_fig_ismale,xgboost,28,0.7352341973938112,0.7370750352041843,0.8311681836797129,0.7222222222222223
5_hist_fig_ismale,mlp,28,0.845689052671779,0.8459062562864614,0.9178920668014524,0.8055555555555557
5_hist_fig_ismale,logreg,38,0.8824116753429005,0.8824833702882483,0.9492611590019632,0.9351851851851852
5_hist_fig_ismale,pca,38,0.8261712395749878,0.8284620036283007,0.9279002678420512,0.9444444444444444
5_hist_fig_ismale,knn,38,0.7418306043460732,0.7458173755291272,0.8326995650817178,0.789351851851852
5_hist_fig_ismale,xgboost,38,0.6359131756777148,0.6363636363636364,0.7208768901717568,0.8518518518518517
5_hist_fig_ismale,mlp,38,0.8481871796424124,0.8488208022576094,0.9265413919985438,0.8472222222222223
5_hist_fig_ismale,logreg,53,0.9350916167292318,0.9350990699555196,0.9823878723206996,0.9833333333333334
5_hist_fig_ismale,pca,53,0.9413625327212718,0.9413667610190052,0.9845020928821404,0.9895833333333334
5_hist_fig_ismale,knn,53,0.6607769374571559,0.6821674080064699,0.7975299428735315,0.8406250000000001
5_hist_fig_ismale,xgboost,53,0.7394251701820617,0.7397897290739992,0.8127282127772504,0.8937499999999999
5_hist_fig_ismale,mlp,53,0.8889375140958464,0.8892033966841892,0.9550408463161136,0.8875000000000001
5_hist_fig_ismale,logreg,74,0.9423151151106408,0.9423350253807108,0.9866820165088312,0.9781746031746033
5_hist_fig_ismale,pca,74,0.9171248810232476,0.9171573604060914,0.9745766177773864,0.9742063492063492
5_hist_fig_ismale,knn,74,0.7671383064080597,0.7725888324873097,0.8923879261980643,0.8908730158730158
5_hist_fig_ismale,xgboost,74,0.8002337327513676,0.8006091370558376,0.8941867667473737,0.9093915343915344
5_hist_fig_ismale,mlp,74,0.9114434867311464,0.9114720812182742,0.9706108570944209,0.931878306878307
5_hist_fig_ismale,logreg,103,0.9356197994831268,0.9356617647058824,0.9867024969029006,0.993312757201646
5_hist_fig_ismale,pca,103,0.9423850013520416,0.9424019607843136,0.9875161529753512,0.9953703703703703
5_hist_fig_ismale,knn,103,0.7612473574502918,0.7630718954248366,0.8606223501110684,0.9117798353909464
