dataset,method,num_train,test_f1,test_acc,test_auc,val_auc
5_hist_fig_ismale,xgboost,38,0.7348484403293174,0.7361419068736141,0.8284962489110791,0.8425925925925926
5_hist_fig_ismale,mlp,38,0.7949843207092337,0.7954041523886313,0.887314070809117,0.800925925925926
5_hist_fig_ismale,logreg,53,0.9231375492219368,0.9231702385766276,0.9748603968553872,0.8916666666666666
5_hist_fig_ismale,pca,53,0.8981488455081728,0.8985038414880712,0.9680638236259324,0.8520833333333333
5_hist_fig_ismale,knn,53,0.7355583879822593,0.739385361908613,0.8109765001032584,0.7312500000000001
5_hist_fig_ismale,xgboost,53,0.6034792364913881,0.6091791346542661,0.7641392383475462,0.6416666666666666
5_hist_fig_ismale,mlp,53,0.8240579217222067,0.8249090173877881,0.9175841506384602,0.8125
5_hist_fig_ismale,logreg,74,0.9287309057020112,0.9287309644670052,0.9772178196693684,0.951058201058201
5_hist_fig_ismale,pca,74,0.921810932363102,0.9218274111675128,0.9761092932509178,0.9384920634920636
5_hist_fig_ismale,knn,74,0.7747721741069388,0.7748223350253807,0.851610826421122,0.8587962962962964
5_hist_fig_ismale,xgboost,74,0.8140925742281175,0.8144162436548223,0.8958354565522618,0.8882275132275134
5_hist_fig_ismale,mlp,74,0.8503503201669818,0.8503553299492386,0.9341477259047222,0.9120370370370372
5_hist_fig_ismale,logreg,103,0.9284878212289012,0.9285130718954248,0.978833928723995,0.9562757201646088
5_hist_fig_ismale,pca,103,0.9107403324367256,0.9107434640522876,0.9732281120509204,0.9539609053497942
5_hist_fig_ismale,knn,103,0.7292483514618797,0.7316176470588235,0.8332292901501559,0.8926183127572017
5_hist_fig_ismale,xgboost,103,0.8046915006192354,0.8047385620915033,0.8990564192725019,0.9012345679012346
5_hist_fig_ismale,mlp,103,0.8548649889007723,0.8549836601307189,0.934278582756632,0.9338991769547323
5_hist_fig_ismale,logreg,143,0.942132144980746,0.9421334431630972,0.9822137867113224,0.9846153846153848
5_hist_fig_ismale,pca,143,0.8947688175223588,0.8947693574958814,0.956650547294198,0.9589743589743588
5_hist_fig_ismale,knn,143,0.7710565735928853,0.771828665568369,0.8523934961147948,0.9282051282051282
5_hist_fig_ismale,xgboost,143,0.8471844098878161,0.8471993410214168,0.9280835000230696,0.917948717948718
5_hist_fig_ismale,mlp,143,0.8918834605994858,0.8918863261943987,0.956119605427074,0.9333333333333332
5_hist_fig_ismale,logreg,198,0.9310480966303808,0.9310560299937513,0.9783090379008748,0.9763157894736842
5_hist_fig_ismale,pca,198,0.949790357179662,0.949802124557384,0.987607941135638,0.9052631578947368
5_hist_fig_ismale,knn,198,0.732038079420937,0.7396375755051031,0.8853054282937663,0.8710526315789473
5_hist_fig_ismale,xgboost,198,0.8423148970943057,0.8423245157258904,0.9247568721366096,0.9210526315789472
5_hist_fig_ismale,mlp,198,0.9310560240115234,0.9310560299937513,0.977862869637651,0.9078947368421052
5_hist_fig_ismale,logreg,275,0.9684588977731868,0.968458933107536,0.989181838322121,0.9944903581267216
5_hist_fig_ismale,pca,275,0.9525824211672712,0.9525825571549534,0.9880554804729986,0.9917355371900826
5_hist_fig_ismale,knn,275,0.7215954453970266,0.7307366638441999,0.892930760180418,0.9449035812672176
5_hist_fig_ismale,xgboost,275,0.9098000510965591,0.9098221845893312,0.9673234339073148,0.9848484848484848
5_hist_fig_ismale,mlp,275,0.9481336368409012,0.9481371718882304,0.9841263126800937,0.9848484848484848
5_hist_fig_ismale,logreg,382,0.9761748824705244,0.9761750054147716,0.9943437742298428,0.9914772727272728
5_hist_fig_ismale,pca,382,0.95451483973351,0.9545159194282,0.9883753048315947,0.9730113636363636
5_hist_fig_ismale,knn,382,0.823722520524806,0.8245614035087719,0.9105048589161694,0.8671874999999999
5_hist_fig_ismale,xgboost,382,0.9207277229764091,0.9207277452891488,0.9764608836044324,0.9616477272727272
5_hist_fig_ismale,mlp,382,0.9644782557918838,0.964479098982023,0.9917658878339825,0.9701704545454544
5_hist_fig_ismale,logreg,531,0.9814230453043076,0.9814234556848702,0.9951642596833026,0.9843937575030012
5_hist_fig_ismale,pca,531,0.9518799176976376,0.951880035810206,0.9880052240582388,0.9911964785914366
5_hist_fig_ismale,knn,531,0.8064166720824939,0.8084153983885407,0.8699937444347108,0.9111644657863144
5_hist_fig_ismale,xgboost,531,0.8963522805154759,0.8963742166517458,0.96306992367489,0.953981592637055
5_hist_fig_ismale,mlp,531,0.9702325859119788,0.9702327663384064,0.9926161487357829,0.9559823929571828
5_hist_fig_ismale,logreg,737,0.9755982622911544,0.975598310652276,0.9936978671313348,1.0
5_hist_fig_ismale,pca,737,0.9580001038301372,0.9580009385265134,0.9913064082070644,0.9975196362133112
