test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,sae_l0
0.5849823115847924,0.5866666666666667,0.6436075498575498,0.7438975590236094,128,7_hist_fig_ispolitician,12,matryoshka_batch_top_k_width-2pow14_date-0107,l1,80
0.64349376114082,0.68,0.7330666666666666,0.9991883116883117,16,73_control-group,12,relu_google_gemma-2-2b_standard,l1,106
0.6080205035428916,0.6533333333333333,0.7005777777777777,1.0,128,73_control-group,12,relu_google_gemma-2-2b_standard,l1,106
0.6674208144796381,0.6733333333333333,0.7183555555555555,0.7503001200480192,16,90_glue_qnli,12,relu_google_gemma-2-2b_standard,l1,53
0.6430120441730891,0.6433333333333333,0.7093333333333334,0.7667066826730692,128,90_glue_qnli,12,relu_google_gemma-2-2b_standard,l1,53
0.6418969421791855,0.6433333333333333,0.6833777777777776,0.721888755502201,16,87_glue_cola,12,batch_top_k_width-2pow14_date-0107,l1,40
0.6199095022624435,0.6266666666666667,0.6413333333333333,0.8207282913165267,128,87_glue_cola,12,batch_top_k_width-2pow14_date-0107,l1,40
0.40869468658042307,0.5266666666666666,0.6650666666666666,1.0,16,66_living-room,12,p_anneal_width-2pow14_date-0107,l1,404
0.4877310924369748,0.5766666666666667,0.8026222222222222,1.0,128,66_living-room,12,p_anneal_width-2pow14_date-0107,l1,404
0.6480395183698674,0.6833333333333333,0.5461777777777778,1.0,16,73_control-group,12,top_k_width-2pow14_date-0107,l1,80
0.6343101646848103,0.6733333333333333,0.6460888888888889,1.0,128,73_control-group,12,top_k_width-2pow14_date-0107,l1,80
0.6012707665403672,0.6166666666666667,0.6274483618233618,0.7394957983193278,16,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,948
0.6151696754236113,0.6266666666666667,0.6564725783475782,0.773109243697479,128,7_hist_fig_ispolitician,12,standard_new_width-2pow14_date-0107,l1,948
0.6480395183698674,0.6833333333333333,0.6666444444444444,0.9918831168831169,16,73_control-group,12,gated_width-2pow14_date-0107,l1,396
0.6525553200926519,0.6866666666666666,0.7387555555555556,1.0,128,73_control-group,12,gated_width-2pow14_date-0107,l1,396
0.845679012345679,0.8466666666666667,0.9137333333333334,0.990796318527411,16,6_hist_fig_isamerican,12,jump_relu_width-2pow14_date-0107,l1,164
0.7376858058874963,0.75,0.9006666666666667,0.9955982392957182,128,6_hist_fig_isamerican,12,jump_relu_width-2pow14_date-0107,l1,164
0.5180249424981797,0.5366666666666666,0.6028,0.6802721088435375,16,87_glue_cola,12,standard_new_width-2pow14_date-0107,l1,177
0.558409346422652,0.5766666666666667,0.6498222222222222,0.7290916366546619,128,87_glue_cola,12,standard_new_width-2pow14_date-0107,l1,177
0.7947487073654931,0.7966666666666666,0.9003111111111111,0.9827931172468988,16,6_hist_fig_isamerican,12,gated_width-2pow14_date-0107,l1,51
