test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.9647646967931109,0.9647798742138365,0.9905094887391788,0.9975990396158464,8,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9703141723195805,0.9703144654088051,0.9906602422790391,0.9963985594237695,16,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.970813265461808,0.9708176100628931,0.9939847945245706,0.9979991996798719,32,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9723267708063885,0.9723270440251572,0.9939392267039581,0.9991996798719488,64,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9715679184323234,0.9715723270440252,0.9941951659630657,0.9991996798719487,128,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9750918804310023,0.9750943396226415,0.9938820137736332,1.0,256,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.9781121602951693,0.9781132075471698,0.9951085476117905,0.9995998399359743,512,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_276,l1,False
0.6964797926763169,0.7187421383647798,0.7204840770845506,0.7346938775510203,1,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.6982484377908665,0.7184905660377359,0.7427058576927088,0.7627050820328132,2,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.6971571944234066,0.7167295597484277,0.7394935794940756,0.7723089235694278,4,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.7647243532069874,0.7750943396226415,0.8418954846340245,0.8411364545818327,8,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.838485446577346,0.839748427672956,0.9153120788141026,0.9319727891156462,16,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.867986859620744,0.8681761006289308,0.9518672173959712,0.9775910364145658,32,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.8955557080009471,0.8955974842767296,0.9633485361084474,0.9863945578231292,64,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.9011286213625154,0.9011320754716982,0.9654403522291272,0.9871948779511804,128,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.9001149003537015,0.900125786163522,0.9653066866219967,0.9807923169267707,256,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.9028839728613605,0.9028930817610062,0.966514487022791,0.9875950380152061,512,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_11,l1,False
0.9155353364158341,0.9157232704402516,0.9291441907610738,0.9613845538215285,1,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_221,l1,False
0.9693052971219843,0.9693081761006289,0.9870734219104258,0.9867947178871549,2,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_221,l1,False
0.9693039759502295,0.9693081761006289,0.9900322923955408,0.9863945578231292,4,5_hist_fig_ismale,20,layer_20/width_131k/average_l0_221,l1,False
